contradiction || this church choir sings to the masses as they sing joyous songs from the book at a church. || the church has cracks in the ceiling.
entailment || an atv rides over a vast sandy landscape. || the rider is outdoors.
entailment || a group of children in costumes are on a stage with red curtains. || a group of children are on stage
entailment || a group of children in costumes are on a stage with red curtains. || a group of children are performing a play
contradiction || a group of children in costumes are on a stage with red curtains. || a group of children are sitting at desks
contradiction || a man swings his tennis racquet as the tennis ball gets closer to him. || a man is shooting a basketball at the goal.
entailment || a man swings his tennis racquet as the tennis ball gets closer to him. || a man is playing tennis.
neutral || a man swings his tennis racquet as the tennis ball gets closer to him. || a man is about to hit the winning point in a tennis match.
contradiction || a cobblestone street lined with houses and some pedestrians milling around. || elephants are smashing the cobblestone street while people are milling around.
entailment || a cobblestone street lined with houses and some pedestrians milling around. || humans are outside going to various shopping places.
entailment || a cobblestone street lined with houses and some pedestrians milling around. || humans are outside meandering around.
neutral || smilling and laughing baby in a walker with fire engine airplane mobile and other toys on the floor || many toys strewn about on the floor.
contradiction || smilling and laughing baby in a walker with fire engine airplane mobile and other toys on the floor || a man playing with an airplane.
contradiction || smilling and laughing baby in a walker with fire engine airplane mobile and other toys on the floor || the baby's diaper is full of feces.
neutral || two soccer players try to take possession of the ball, but the player in yellow falls as the player in white jumps over him. || the players are brazilian
contradiction || two soccer players try to take possession of the ball, but the player in yellow falls as the player in white jumps over him. || the players are asleep
entailment || two soccer players try to take possession of the ball, but the player in yellow falls as the player in white jumps over him. || people playing soccer
contradiction || two dogs are looking through a rusty wire fence. || two dogs are in the yard.
contradiction || two dogs are looking through a rusty wire fence. || two dogs are sleeping by the fireplace.
entailment || two dogs are looking through a rusty wire fence. || two dogs are outside.
